Team,Year,Week,Day,Date,,,OT,Record,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
Was,2011,1,Sun,9/11/12,boxscore,W,,1,Jan-00,,New York Giants,28,14,21,332,258,74,1,15,315,240,75,1,5.12,6.25,3
Was,2011,2,Sun,9/18/12,boxscore,W,,2,Feb-00,,Arizona Cardinals,22,21,28,455,283,172,2,16,324,231,93,2,7.55,-2.16,-5.86
Was,2011,3,Mon,9/26/12,boxscore,L,,2,2/1/12,@,Dallas Cowboys,16,18,20,298,233,65,2,17,375,250,125,2,-6.28,3.71,-1.67
Was,2011,4,Sun,10/2/12,boxscore,W,,3,3/1/12,@,St. Louis Rams,17,10,16,339,143,196,2,14,172,127,45,1,-9.55,20.98,-0.81
Was,2011,5,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
Was,2011,6,Sun,10/16/12,boxscore,L,,3,3/2/12,,Philadelphia Eagles,13,20,17,287,245,42,4,22,422,230,192,2,-7.71,-4.14,5.83
Was,2011,7,Sun,10/23/12,boxscore,L,,3,3/3/12,@,Carolina Panthers,20,33,22,353,261,92,3,20,407,232,175,,-1.53,-11.44,-1.92
Was,2011,8,Sun,10/30/12,boxscore,L,,3,3/4/12,@,Buffalo Bills,0,23,10,178,152,26,2,17,390,252,138,2,-21.45,-4.37,2.96
Was,2011,9,Sun,11/6/12,boxscore,L,,3,3/5/12,,San Francisco 49ers,11,19,17,303,251,52,3,15,326,188,138,1,-12.73,5.3,-1.27
Was,2011,10,Sun,11/13/12,boxscore,L,,3,3/6/12,@,Miami Dolphins,9,20,16,246,185,61,2,20,303,200,103,2,-8.83,1.71,-1.66
Was,2011,11,Sun,11/20/12,boxscore,L,OT,3,3/7/12,,Dallas Cowboys,24,27,18,339,279,60,2,20,353,264,89,,1.3,-7.73,4.45
Was,2011,12,Sun,11/27/12,boxscore,W,,4,4/7/12,@,Seattle Seahawks,23,17,22,416,306,110,2,15,250,126,124,1,4.34,5.92,-4.86
Was,2011,13,Sun,12/4/12,boxscore,L,,4,4/8/12,,New York Jets,19,34,17,304,204,100,3,16,266,165,101,1,-13.13,-4.45,3.7
Was,2011,14,Sun,12/11/12,boxscore,L,,4,4/9/12,,New England Patriots,27,34,25,463,293,170,2,22,431,352,79,1,13.23,-17.14,-2.16
